rank,company_name,website
1,RemoveRank,
2,Walmart,https://www.stock.walmart.com/
3,Amazon,https://www.amazon.com/
4,UnitedHealth Group,https://www.unitedhealthgroup.com/
5,Apple,https://www.apple.com/
6,CVS Health,https://www.cvshealth.com/
7,Berkshire Hathaway,https://www.berkshirehathaway.com/
8,Alphabet,https://quartr.com/products/quartr-api
9,Exxon Mobil,https://www.exxonmobil.com/
10,McKesson,https://www.mckesson.com/
11,Cencora,https://www.cencora.com/
12,JPMorgan Chase,https://www.jpmorganchase.com/
13,Costco Wholesale,https://www.costco.com/
14,Cigna,https://www.thecignagroup.com/
15,Microsoft,https://www.microsoft.com/
16,Cardinal Health,https://www.cardinalhealth.com/
17,Chevron,https://www.chevron.com/
18,Bank of America,https://www.bankofamerica.com/
19,General Motors,https://quartr.com/products/quartr-api
20,Ford Motor,https://www.ford.com/
21,Elevance Health,https://www.elevancehealth.com/
22,Citigroup,https://www.citigroup.com/
23,Meta Platforms,https://investor.atmeta.com/
24,Centene,https://www.centene.com/
25,Home Depot,https://www.homedepot.com/
26,Fannie Mae,https://www.fanniemae.com/
27,Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/
28,Kroger,https://www.thekrogerco.com/
29,Phillips 66,https://www.phillips66.com/
30,Marathon Petroleum,https://www.marathonpetroleum.com/
31,Verizon Communications,https://verizon.com/about/
32,Nvidia,https://www.nvidia.com/
33,Goldman Sachs Group,https://www.goldmansachs.com/
34,Wells Fargo,https://www.wellsfargo.com/
35,Valero Energy,https://www.valero.com/
36,Comcast,https://www.comcastcorporation.com/
37,State Farm Insurance,https://www.statefarm.com/
38,AT&T,https://www.att.com/
39,Freddie Mac,https://www.freddiemac.com/
40,Humana,https://www.humana.com/
41,Morgan Stanley,https://www.morganstanley.com/
42,Target,https://corporate.target.com/
43,StoneX Group,https://www.stonex.com/
44,Tesla,https://www.tesla.com/
45,Dell Technologies,https://delltechnologies.com/
46,PepsiCo,https://www.pepsico.com/
47,Walt Disney,https://www.thewaltdisneycompany.com/
48,United Parcel Service,https://about.ups.com/
49,Johnson & Johnson,https://www.jnj.com/
50,FedEx,https://www.fedex.com/
51,Archer Daniels Midland,https://www.adm.com/
52,Procter & Gamble,https://www.pginvestor.com/
53,Lowe's,https://www.lowes.com/
54,Energy Transfer,https://www.energytransfer.com/
55,RTX,https://www.rtx.com/
56,Albertsons,https://www.albertsonscompanies.com/
57,Sysco,https://www.sysco.com/
58,Progressive,https://www.progressive.com/
59,American Express,https://www.americanexpress.com/
60,Lockheed Martin,https://www.lockheedmartin.com/
61,MetLife,https://www.metlife.com/
62,HCA Healthcare,https://www.hcahealthcare.com/
63,Prudential Financial,https://investor.prudential.com/
64,Boeing,https://www.boeing.com/
65,Caterpillar,https://www.caterpillar.com/
66,Merck,https://www.merck.com/
67,Allstate,https://www.allstate.com/
68,Pfizer,https://www.pfizer.com/
69,IBM,https://www.ibm.com/
70,New York Life Insurance,https://www.newyorklife.com/
71,Delta Air Lines,https://www.delta.com/
72,Publix Super Markets,https://corporate.publix.com/
73,Nationwide,https://www.nationwide.com/
74,TD Synnex,https://www.tdsynnex.com/
75,United Airlines Holdings,https://www.united.com/
76,ConocoPhillips,https://www.conocophillips.com/
77,TJX,https://www.tjx.com/
78,AbbVie,https://www.abbvie.com/
79,Enterprise Products Partners,https://www.enterpriseproducts.com/
80,Charter Communications,https://www.charter.com/
81,Performance Food Group,https://www.pfgc.com/
82,American Airlines Group,https://quartr.com/products/quartr-api
83,Capital One Financial,https://www.capitalone.com/
84,Cisco Systems,https://www.cisco.com/
85,HP,http://www.greatplacetowork.com/certified-company/1000114
86,Tyson Foods,https://www.tysonfoods.com/
87,Intel,https://www.intel.com/
88,Oracle,https://www.oracle.com/
89,Broadcom,https://www.broadcom.com/
90,Deere,https://www.deere.com/
91,Nike,https://investors.nike.com/
92,Liberty Mutual Insurance Group,https://www.libertymutual.com/
93,Plains GP Holdings,https://www.plains.com/
94,USAA,https://www.usaa.com/
95,Bristol-Myers Squibb,https://www.bms.com/
96,Ingram Micro Holding,https://www.ingrammicro.com/
97,General Dynamics,https://quartr.com/products/quartr-api
98,Coca-Cola,https://www.coca-colacompany.com/
99,TIAA,https://www.tiaa.org/
100,Travelers,https://www.travelers.com/
101,Eli Lilly,https://www.lilly.com/
102,Uber Technologies,https://www.uber.com/
103,Massachusetts Mutual Life Insurance,https://www.massmutual.com/
104,Dow,https://www.dow.com/
105,Thermo Fisher Scientific,https://www.thermofisher.com/
106,U.S. Bancorp,https://www.usbank.com/
107,World Kinect,https://www.world-kinect.com/
108,Abbott Laboratories,https://www.abbott.com/
109,Best Buy,https://www.investors.bestbuy.com/
110,Northwestern Mutual,https://www.northwesternmutual.com/
111,Northrop Grumman,https://www.northropgrumman.com/
112,Molina Healthcare,https://www.molinahealthcare.com/
113,Dollar General,https://www.dollargeneral.com/
114,Bank of New York (BNY),https://www.bny.com/
115,Warner Bros. Discovery,https://wbd.com/
116,CHS,https://www.chsinc.com/
117,Netflix,https://www.netflix.com/
118,Qualcomm,https://www.qualcomm.com/
119,General Electric (GE Aerospace),https://quartr.com/products/quartr-api
